template,theme,layer_key,visible
bcfishpass_mobile,Low Detail - Steelhead Model,fiss_obstacles,false
bcfishpass_mobile,Low Detail - Steelhead Model,fiss_stream_sample_sites,false
bcfishpass_mobile,Low Detail - Steelhead Model,form_fiss_site,true
bcfishpass_mobile,Low Detail - Steelhead Model,form_pscis,true
bcfishpass_mobile,Low Detail - Steelhead Model,habitat_lateral,true
bcfishpass_mobile,Low Detail - Steelhead Model,lake,true
bcfishpass_mobile,Low Detail - Steelhead Model,manmade_waterbodies,true
bcfishpass_mobile,Low Detail - Steelhead Model,moti_major_structures,true
bcfishpass_mobile,Low Detail - Steelhead Model,municipalities,true
bcfishpass_mobile,Low Detail - Steelhead Model,pipeline_permit,true
bcfishpass_mobile,Low Detail - Steelhead Model,provincial_park,true
bcfishpass_mobile,Low Detail - Steelhead Model,railway,true
bcfishpass_mobile,Low Detail - Steelhead Model,roads_dra,true
bcfishpass_mobile,Low Detail - Steelhead Model,roads_ften,true
bcfishpass_mobile,Low Detail - Steelhead Model,stream_labels,true
bcfishpass_mobile,Low Detail - Steelhead Model,streams_all,true
bcfishpass_mobile,Low Detail - Steelhead Model,streams_st,true
bcfishpass_mobile,Low Detail - Steelhead Model,transmission_line,true
bcfishpass_mobile,Low Detail - Steelhead Model,watershed_group_boundary,true
bcfishpass_mobile,Low Detail - Steelhead Model,wetland,true
bcrestoration_mobile,High Detail - Crossings,bcfishobs_fiss_fish_observations,false
bcrestoration_mobile,High Detail - Crossings,conservancy,false
bcrestoration_mobile,High Detail - Crossings,crossings_modelled,false
bcrestoration_mobile,High Detail - Crossings,crossings_pscis_assessment,false
bcrestoration_mobile,High Detail - Crossings,esri_world_topo,false
bcrestoration_mobile,High Detail - Crossings,first_nation_reserve,false
bcrestoration_mobile,High Detail - Crossings,fiss_obstacles,false
bcrestoration_mobile,High Detail - Crossings,fiss_stream_sample_sites,false
bcrestoration_mobile,High Detail - Crossings,form_fiss_site,false
bcrestoration_mobile,High Detail - Crossings,form_pscis,false
bcrestoration_mobile,High Detail - Crossings,habitat_lateral,false
